AlphaNet(
  (ts_cov10): Cov()
  (ts_corr10): Corr()
  (ts_stddev10): StdDev()
  (ts_zscore10): ZScore()
  (ts_return10): Return()
  (ts_decaylinear10): DecayLinear()
  (bn): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling): Pooling()
  (flatten): Flatten()
  (fc1): Linear(in_features=648, out_features=30, bias=True)
  (fc2): Linear(in_features=30, out_features=1, bias=True)
  (relu): ReLU(inplace=True)
  (dropout): Dropout(p=0.5, inplace=False)
)
2021-11-18 10:36:14
[training] epoch: 1, step: 1, loss: 6.554604530334473
[training] epoch: 1, step: 2, loss: 8.548641204833984
[training] epoch: 1, step: 3, loss: 5.55006742477417
[training] epoch: 1, step: 4, loss: 8.184891700744629
[training] epoch: 1, step: 5, loss: 3.97186541557312
[training] epoch: 1, step: 6, loss: 3.3747379779815674
[training] epoch: 1, step: 7, loss: 24.461938858032227
[training] epoch: 1, step: 8, loss: 14.469470977783203
[training] epoch: 1, step: 9, loss: 6.264246463775635
[training] epoch: 1, step: 10, loss: 2.2351572513580322
[training] epoch: 1, step: 11, loss: 2.9610180854797363
[training] epoch: 1, step: 12, loss: 4.089308261871338
[training] epoch: 1, step: 13, loss: 4.885247707366943
[training] epoch: 1, step: 14, loss: 7.907104969024658
[training] epoch: 1, step: 15, loss: 3.513411045074463
[training] epoch: 1, step: 16, loss: 7.068922519683838
[training] epoch: 1, step: 17, loss: 2.9434781074523926
[training] epoch: 1, step: 18, loss: 7.455462455749512
[training] epoch: 1, step: 19, loss: 3.0812604427337646
[training] epoch: 1, step: 20, loss: 4.770541191101074
[training] epoch: 1, step: 21, loss: 15.028494834899902
[training] epoch: 1, step: 22, loss: 26.544618606567383
[training] epoch: 1, step: 23, loss: 7.279176235198975
[training] epoch: 1, step: 24, loss: 3.714157819747925
[training] epoch: 1, step: 25, loss: 4.508848667144775
[training] epoch: 1, step: 26, loss: 5.348912239074707
[training] epoch: 1, step: 27, loss: 5.0969648361206055
[training] epoch: 1, step: 28, loss: 4.963890075683594
[training] epoch: 1, step: 29, loss: 2.909165382385254
[training] epoch: 1, step: 30, loss: 7.501271724700928
[training] epoch: 1, step: 31, loss: 6.736252784729004
[training] epoch: 1, step: 32, loss: 8.008814811706543
[training] epoch: 1, step: 33, loss: 5.12973165512085
[training] epoch: 1, step: 34, loss: 6.833041667938232
[training] epoch: 1, step: 35, loss: 5.522367000579834
[training] epoch: 1, step: 36, loss: 27.045839309692383
[training] epoch: 1, step: 37, loss: 18.900310516357422
[training] epoch: 1, step: 38, loss: 5.8031697273254395
[training] epoch: 1, step: 39, loss: 14.323677062988281
[training] epoch: 1, step: 40, loss: 8.149250984191895
[training] epoch: 1, step: 41, loss: 7.384955406188965
[training] epoch: 1, step: 42, loss: 4.47330904006958
[training] epoch: 1, step: 43, loss: 8.17475700378418
[training] epoch: 1, step: 44, loss: 2.9159884452819824
[training] epoch: 1, step: 45, loss: 2.7752859592437744
[training] epoch: 1, step: 46, loss: 2.0921638011932373
[training] epoch: 1, step: 47, loss: 4.085016250610352
[training] epoch: 1, step: 48, loss: 1.0897150039672852
[training] epoch: 1, step: 49, loss: 5.992782115936279
[training] epoch: 1, step: 50, loss: 22.247859954833984
[training] epoch: 1, step: 51, loss: 6.303062438964844
[training] epoch: 1, step: 52, loss: 4.0507097244262695
[training] epoch: 1, step: 53, loss: 5.737755298614502
[training] epoch: 1, step: 54, loss: 6.539644241333008
[training] epoch: 1, step: 55, loss: 5.234780788421631
[training] epoch: 1, step: 56, loss: 4.522453784942627
[training] epoch: 1, step: 57, loss: 2.7206592559814453
[training] epoch: 1, step: 58, loss: 8.737034797668457
[training] epoch: 1, step: 59, loss: 8.497849464416504
[training] epoch: 1, step: 60, loss: 9.647276878356934
[training] epoch: 1, step: 61, loss: 8.215380668640137
[training] epoch: 1, step: 62, loss: 4.953473091125488
[training] epoch: 1, step: 63, loss: 6.3244476318359375
[training] epoch: 1, step: 64, loss: 17.96143913269043
[training] epoch: 1, step: 65, loss: 5.2033820152282715
[training] epoch: 1, step: 66, loss: 6.3715314865112305
[training] epoch: 1, step: 67, loss: 4.24069881439209
[training] epoch: 1, step: 68, loss: 5.793523788452148
[training] epoch: 1, step: 69, loss: 8.676997184753418
[training] epoch: 1, step: 70, loss: 6.7003374099731445
[training] epoch: 1, step: 71, loss: 9.65131664276123
[training] epoch: 1, step: 72, loss: 4.124833583831787
[training] epoch: 1, step: 73, loss: 3.2932064533233643
[training] epoch: 1, step: 74, loss: 3.030125379562378
[training] epoch: 1, step: 75, loss: 12.32013988494873
[training] epoch: 1, step: 76, loss: 28.04963493347168
[training] epoch: 1, step: 77, loss: 7.32574462890625
[training] epoch: 1, step: 78, loss: 14.10108470916748
[training] epoch: 1, step: 79, loss: 4.468720436096191
[training] epoch: 1, step: 80, loss: 4.566404342651367
[training] epoch: 1, step: 81, loss: 5.795485973358154
[training] epoch: 1, step: 82, loss: 9.962602615356445
[training] epoch: 1, step: 83, loss: 4.023684978485107
[training] epoch: 1, step: 84, loss: 4.793753147125244
[training] epoch: 1, step: 85, loss: 2.5369973182678223
[training] epoch: 1, step: 86, loss: 3.7558810710906982
[training] epoch: 1, step: 87, loss: 13.836970329284668
[training] epoch: 1, step: 88, loss: 2.1814444065093994
[training] epoch: 1, step: 89, loss: 3.727720260620117
[training] epoch: 1, step: 90, loss: 2.3262836933135986
[training] epoch: 1, step: 91, loss: 2.4347500801086426
[training] epoch: 1, step: 92, loss: 3.9026427268981934
[training] epoch: 1, step: 93, loss: 1.83052396774292
[training] epoch: 1, step: 94, loss: 3.905165672302246
[training] epoch: 1, step: 95, loss: 2.9454257488250732
[training] epoch: 1, step: 96, loss: 1.9057213068008423
[training] epoch: 1, step: 97, loss: 2.362807512283325
