AlphaNet(
  (ts_cov10): Cov()
  (ts_corr10): Corr()
  (ts_stddev10): StdDev()
  (ts_zscore10): ZScore()
  (ts_return10): Return()
  (ts_decaylinear10): DecayLinear()
  (bn): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling): Pooling()
  (flatten): Flatten()
  (fc1): Linear(in_features=648, out_features=30, bias=True)
  (fc2): Linear(in_features=30, out_features=1, bias=True)
  (relu): ReLU(inplace=True)
  (dropout): Dropout(p=0.5, inplace=False)
)
2021-11-18 09:38:36
[training] epoch: 1, step: 1, loss: 6.737420558929443
[training] epoch: 1, step: 2, loss: 4.520803451538086
[training] epoch: 1, step: 3, loss: 8.74125862121582
[training] epoch: 1, step: 4, loss: 1.7549288272857666
[training] epoch: 1, step: 5, loss: 13.19194221496582
[training] epoch: 1, step: 6, loss: 11.30215072631836
[training] epoch: 1, step: 7, loss: 6.000365257263184
[training] epoch: 1, step: 8, loss: 2.742617607116699
[training] epoch: 1, step: 9, loss: 4.3696608543396
[training] epoch: 1, step: 10, loss: 5.320346355438232
[training] epoch: 1, step: 11, loss: 5.969444751739502
[training] epoch: 1, step: 12, loss: 6.090035915374756
[training] epoch: 1, step: 13, loss: 3.4844658374786377
[training] epoch: 1, step: 14, loss: 7.018250465393066
[training] epoch: 1, step: 15, loss: 4.836756229400635
[training] epoch: 1, step: 16, loss: 21.54226303100586
[training] epoch: 1, step: 17, loss: 15.30958366394043
[training] epoch: 1, step: 18, loss: 4.045576572418213
[training] epoch: 1, step: 19, loss: 4.712423324584961
[training] epoch: 1, step: 20, loss: 4.295792102813721
[training] epoch: 1, step: 21, loss: 3.5538017749786377
[training] epoch: 1, step: 22, loss: 4.276585102081299
[training] epoch: 1, step: 23, loss: 6.696007251739502
[training] epoch: 1, step: 24, loss: 9.965738296508789
[training] epoch: 1, step: 25, loss: 6.172913551330566
[training] epoch: 1, step: 26, loss: 4.949517250061035
[training] epoch: 1, step: 27, loss: 20.5903377532959
[training] epoch: 1, step: 28, loss: 15.474270820617676
[training] epoch: 1, step: 29, loss: 10.57047176361084
[training] epoch: 1, step: 30, loss: 8.548072814941406
[training] epoch: 1, step: 31, loss: 7.223846912384033
[training] epoch: 1, step: 32, loss: 6.132908821105957
[training] epoch: 1, step: 33, loss: 3.5013105869293213
[training] epoch: 1, step: 34, loss: 2.2192599773406982
[training] epoch: 1, step: 35, loss: 3.6324095726013184
[training] epoch: 1, step: 36, loss: 1.4828240871429443
[training] epoch: 1, step: 37, loss: 15.127508163452148
[training] epoch: 1, step: 38, loss: 12.940105438232422
[training] epoch: 1, step: 39, loss: 3.008420944213867
[training] epoch: 1, step: 40, loss: 6.724886894226074
[training] epoch: 1, step: 41, loss: 5.138902187347412
[training] epoch: 1, step: 42, loss: 3.102844476699829
[training] epoch: 1, step: 43, loss: 5.898115634918213
[training] epoch: 1, step: 44, loss: 7.358997821807861
[training] epoch: 1, step: 45, loss: 8.50395393371582
[training] epoch: 1, step: 46, loss: 7.682330131530762
[training] epoch: 1, step: 47, loss: 3.1207122802734375
[training] epoch: 1, step: 48, loss: 17.79108428955078
[training] epoch: 1, step: 49, loss: 6.100573539733887
[training] epoch: 1, step: 50, loss: 6.88053035736084
[training] epoch: 1, step: 51, loss: 4.7088623046875
[training] epoch: 1, step: 52, loss: 7.8691558837890625
[training] epoch: 1, step: 53, loss: 8.597503662109375
[training] epoch: 1, step: 54, loss: 6.347414493560791
[training] epoch: 1, step: 55, loss: 3.050297498703003
[training] epoch: 1, step: 56, loss: 6.883237838745117
[training] epoch: 1, step: 57, loss: 25.39676856994629
[training] epoch: 1, step: 58, loss: 5.231100082397461
[training] epoch: 1, step: 59, loss: 10.225154876708984
[training] epoch: 1, step: 60, loss: 2.925368309020996
[training] epoch: 1, step: 61, loss: 6.1111555099487305
[training] epoch: 1, step: 62, loss: 6.194655895233154
[training] epoch: 1, step: 63, loss: 3.802851676940918
[training] epoch: 1, step: 64, loss: 2.691761016845703
[training] epoch: 1, step: 65, loss: 8.82039737701416
[training] epoch: 1, step: 66, loss: 6.185500144958496
[training] epoch: 1, step: 67, loss: 3.5795652866363525
[training] epoch: 1, step: 68, loss: 1.7631670236587524
[training] epoch: 1, step: 69, loss: 2.8645856380462646
[training] epoch: 1, step: 70, loss: 2.605484962463379
[training] epoch: 1, step: 71, loss: 4.0227861404418945
[training] epoch: 1, step: 72, loss: 1.6755821704864502
[training] epoch: 1, step: 73, loss: 2.1891698837280273
[training] epoch: 1, step: 74, loss: 3.9072861671447754
[training] epoch: 1, step: 75, loss: 6.720510959625244
[training] epoch: 1, step: 76, loss: 14.842558860778809
[training] epoch: 1, step: 77, loss: 3.474231719970703
[training] epoch: 1, step: 78, loss: 8.877372741699219
[training] epoch: 1, step: 79, loss: 2.4471795558929443
[training] epoch: 1, step: 80, loss: 3.529777765274048
[training] epoch: 1, step: 81, loss: 2.012819766998291
[training] epoch: 1, step: 82, loss: 3.583019971847534
[training] epoch: 1, step: 83, loss: 3.0403592586517334
[training] epoch: 1, step: 84, loss: 1.930162787437439
[training] epoch: 1, step: 85, loss: 1.3364635705947876
[training] epoch: 1, step: 86, loss: 13.245461463928223
[training] epoch: 1, step: 87, loss: 30.750600814819336
[training] epoch: 1, step: 88, loss: 5.932426452636719
[training] epoch: 1, step: 89, loss: 12.654754638671875
[training] epoch: 1, step: 90, loss: 8.902400016784668
[training] epoch: 1, step: 91, loss: 5.9380998611450195
[training] epoch: 1, step: 92, loss: 9.541043281555176
[training] epoch: 1, step: 93, loss: 9.414714813232422
[training] epoch: 1, step: 94, loss: 13.030890464782715
[training] epoch: 1, step: 95, loss: 5.034648895263672
[training] epoch: 1, step: 96, loss: 14.307771682739258
[training] epoch: 1, step: 97, loss: 17.139238357543945
